Id,SalePrice
2658,147066.54546949154
2718,171745.79926397995
2414,219549.10556342185
1989,115627.23468515392
625,188068.86848224103
333,86928.42617831274
1327,101777.40463897109
858,159371.45946279314
95,177500.9513824512
1568,167242.2534473214
2482,156602.1638358889
1364,125895.86367085009
2584,155045.1730572181
818,256913.9081357925
2673,150457.7816930866
2089,99468.21580894694
1297,178862.55305859214
790,132879.35573146818
2616,191945.27196520258
720,197661.8992308302
222,158353.4807089842
557,130069.26107587924
1148,188748.8957892653
2766,161248.2961984559
534,190207.66593844662
1452,117883.07792042941
630,112220.00350088459
2648,120099.65179303191
125,156196.29989066708
1904,53752.47456362563
1670,108262.37165034247
756,105706.47847089802
717,205740.01466241872
1032,150308.8587647584
852,227970.667444129
1731,188570.61036988813
2639,120762.86864627269
2071,60325.32703088854
1267,103345.85573970735
1851,198907.2399999388
567,171200.70660349404
2439,206948.213335452
1898,154303.07587689016
647,180819.66103921845
2256,211657.25220822793
979,95706.68981103016
1444,222441.56006876996
2485,121200.31468979674
157,136629.5006109727
88,122131.59117714888
2003,107981.62548109338
186,197635.12062699912
1425,242423.89319857667
2695,129047.37507016446
738,103056.17134490077
395,162485.63428692572
1353,174220.07743875688
1878,155646.76448149938
390,153701.9353641497
1456,235680.1919214424
1103,318540.7173297704
1387,136725.88705526743
2070,145230.13905703498
1199,160279.30198852345
2479,183613.94103252195
501,322499.6838768356
2362,81834.67465818307
1718,225457.2280852844
2188,75404.36475345642
1483,144979.3513365994
2557,84495.07212461051
437,350413.5164095608
2224,193698.32969221368
1628,163434.28582418454
397,142863.8264090501
587,208311.5655907649
2182,576290.0683399916
971,138674.47312043744
2611,139747.68165053715
1887,98466.03207002567
2399,357660.5520444921
2148,202930.64827266528
304,142310.43830195157
1997,137775.646975677
2817,118599.42728401293
1431,210932.06480668616
427,364240.5108808613
263,121728.8936398997
598,173003.3315584033
2895,256291.18800536444
687,131241.46889703537
1822,138972.34394320048
2191,113407.40164016486
179,113620.8124681411
1009,252993.43262563352
2010,137149.98506132787
1991,142707.44767082564
1411,216543.74845695455
1721,258677.0520452661
1144,203285.6477945637
593,217075.7400524733
575,299280.8016041267
1249,167357.9176277387
1604,123845.25845623964
1064,470360.4416764211
1923,150313.45272669184
1988,118067.6564637327
2325,166541.38275019862
114,193157.43615250805
2700,195903.3373692528
217,150261.885165892
343,184459.73285755803
386,216802.04172602997
2005,126646.45621478016
2908,135682.43233052458
1814,226231.70578103742
2446,452672.39648439933
208,132034.18101192318
1679,103836.16770542563
822,306872.45277420105
6,192117.83269446853
1781,380691.2282279199
2397,332781.8385735375
2340,319457.4733611342
1618,164457.278741802
2843,167934.70151743168
1061,364295.02722507034
2786,123133.18158166175
1935,137296.01370238184
1341,132602.63866464738
521,260079.88356599445
2136,130994.00217021837
996,187246.51272143296
227,133999.21393028912
135,176001.12260076226
1167,164916.7304402155
294,238240.20067011655
1776,213191.682326143
540,168490.84414659283
1717,243651.95703664696
2303,131406.9991332698
116,185227.88254686657
127,152678.7941136938
1371,128636.08890716865
1014,172541.8379501347
1507,114384.21540968544
702,126570.3071621278
750,155551.80424778585
261,152066.45892325212
1559,69152.7990421426
577,243079.06318512317
2812,199589.95584627145
2080,167596.76499822922
1368,114129.59522731313
2376,117681.96820360384
659,122248.92063552668
1235,137706.2343634219
332,72387.72117923188
1917,144828.46148222417
2094,245722.30173918654
1460,270568.72421352135
1471,207391.95668344572
1509,118256.73001007596
1922,129849.67448640711
433,472059.59214930807
460,273026.99385263876
1116,246365.98147568267
1137,158955.26613332977
53,165110.42429598724
2354,274460.44904394983
1475,209528.92351197527
1761,455697.6985438189
842,130049.13445748962
2739,194343.21415230745
2509,153570.23320579383
1007,199219.7033236956
2610,183388.1381030173
1952,90924.36869300771
2719,167892.82578297643
